region,type,amount,ind,date
17,7,2160.8,1,2018-07-01
22,4,2152.4,1,2017-10-01
21,4,2148.6,1,2017-09-01
15,4,2144.8,1,2018-04-01
21,4,2137.3,5,2018-06-01
22,4,2126.8,1,2017-08-01
15,4,2120.5,1,2018-06-01
15,4,2114.7,1,2018-07-01
21,4,2101.7,5,2018-07-01
17,7,2074.4,1,2018-06-01
21,4,2040.3,5,2018-05-01
15,4,2028.3,1,2018-03-01
21,4,2021,5,2018-04-01
15,4,2020,1,2018-05-01
21,4,2000.3,5,2018-02-01
15,4,1990.2,1,2018-02-01
15,4,1978.7,1,2018-01-01
17,7,1971,1,2018-05-01
15,4,1938.2,1,2017-12-01
21,4,1930,5,2018-03-01
15,4,1921.4,1,2017-11-01
17,7,1911.2,1,2017-08-01
17,7,1899,1,2017-09-01
16,4,1894.8,5,2018-07-01
170,8,1890.8,5,2018-02-01
170,8,1889.6,5,2018-04-01
170,8,1884.4,5,2018-01-01
17,7,1881.6,1,2018-04-01
15,4,1876.5,1,2017-10-01
17,7,1873.3,1,2017-10-01
170,8,1866,5,2018-03-01
17,7,1861.1,1,2017-11-01
16,4,1856.9,1,2017-10-01
16,4,1855.6,1,2018-01-01
170,8,1855.6,5,2017-10-01
17,7,1854.7,1,2018-03-01
170,8,1851.5,5,2018-06-01
16,4,1851.1,1,2017-09-01
16,4,1850,1,2017-08-01
16,4,1848.7,5,2018-06-01
170,8,1846.1,5,2017-08-01
170,8,1843.2,5,2018-05-01
17,0,1843.1,2,2018-07-01
17,0,1840.1,2,2018-05-01
17,0,1839.9,2,2018-06-01
17,7,1836.5,1,2018-02-01
17,7,1826.1,1,2018-01-01
15,4,1825.8,1,2017-09-01
170,8,1824.1,5,2017-09-01
17,7,1823,1,2017-12-01
170,8,1821.2,5,2018-07-01
16,4,1817,1,2018-04-01
170,8,1814.2,5,2017-11-01
170,1,1808.3,1,2018-01-01
170,8,1802.6,5,2017-12-01
16,4,1791.7,1,2018-03-01
15,4,1776,1,2017-08-01
16,4,1772,1,2017-11-01
15,4,1765.1,5,2018-07-01
16,4,1763.3,1,2018-02-01
17,0,1761.2,2,2018-04-01
16,4,1753.6,1,2018-06-01
16,4,1752.5,1,2017-12-01
17,0,1747.8,2,2018-03-01
17,0,1747.3,2,2018-02-01
16,4,1743.1,1,2018-05-01
16,4,1736.5,1,2018-07-01
17,0,1727.1,6,2018-06-01
16,4,1720,5,2018-05-01
16,4,1715.7,5,2018-04-01
17,0,1715.4,6,2018-07-01
170,1,1712.1,1,2017-12-01
16,4,1704.6,5,2017-10-01
15,4,1693.3,5,2018-06-01
17,0,1688.3,2,2018-01-01
17,0,1687.8,2,2017-11-01
17,0,1684.6,6,2018-05-01
17,0,1681.4,2,2017-12-01
16,4,1677.9,5,2017-09-01
16,4,1672.8,5,2018-03-01
16,4,1670.6,5,2017-12-01
17,0,1668.2,2,2017-08-01
170,1,1668,1,2017-11-01
17,0,1667.8,2,2017-10-01
16,4,1660.9,5,2018-01-01
17,0,1658.7,2,2017-09-01
16,4,1649.2,5,2017-11-01
16,4,1648.5,5,2018-02-01
16,4,1646.4,5,2017-08-01
170,1,1646.2,1,2017-10-01
21,4,1605.2,5,2017-12-01
15,4,1605,5,2018-05-01
15,4,1602.8,5,2017-11-01
15,4,1598.9,5,2017-10-01
15,4,1586.5,5,2017-08-01
170,1,1584.9,1,2017-09-01
15,4,1581.5,5,2017-09-01
21,4,1580.1,5,2017-09-01
375,6,1579.8,6,2018-06-01
21,4,1572.2,5,2017-11-01
15,4,1568.8,5,2017-12-01
375,6,1566.7,6,2018-07-01
21,4,1565.7,5,2018-01-01
21,4,1549.4,5,2017-08-01
375,6,1540.9,6,2018-05-01
22,4,1536.6,5,2018-03-01
22,4,1526.4,5,2018-07-01
22,4,1524.3,5,2018-06-01
15,4,1522.3,5,2018-04-01
22,4,1512.1,5,2018-02-01
21,4,1512,5,2017-10-01
22,4,1510.8,5,2018-05-01
15,4,1498.1,5,2018-03-01
22,4,1493,5,2018-04-01
